statement,source,url,date,category
LOK SABHA SPEAKER HAILS PURVANCHAL'S CULTURAL HERITAGE AT 'MAATI - 9' FESTIVAL,PIB India,https://pib.gov.in/PressReleaseIframePage.aspx?PRID=2247429,2026-03-31T23:25:50.989906,government_announcement
"English rendering of PM's address during launching of various development works in Vav-Tharad, Gujarat",PIB India,https://pib.gov.in/PressReleaseIframePage.aspx?PRID=2247400,2026-03-31T23:25:50.989906,government_announcement
"CBDT signs record 219 Advance Pricing Agreements (APAs) in FY 2025–26, taking total number of APAs beyond milestone of 1000 (i.e. 1034) since inception",PIB India,https://pib.gov.in/PressReleaseIframePage.aspx?PRID=2247399,2026-03-31T23:25:50.989906,government_announcement
""" From Heritage to High Performance"": Smt. Raksha Nikhil Khadse Says Khelo India Tribal Games is Building Champions from India’s Tribal Heartland",PIB India,https://pib.gov.in/PressReleaseIframePage.aspx?PRID=2247398,2026-03-31T23:25:50.989906,government_announcement
"Prime Minister Shri Narendra Modi lays foundation stone, inaugurates, and dedicates to the Nation development projects worth more than ₹20,000 crore in Vav-Tharad,Gujarat",PIB India,https://pib.gov.in/PressReleaseIframePage.aspx?PRID=2247377,2026-03-31T23:25:50.989906,government_announcement
Ministry of Steel and its PSUs Observe ‘Swachhata Pakhwada’ from 16th to 31st March 2026 Across the Country,PIB India,https://pib.gov.in/PressReleaseIframePage.aspx?PRID=2247371,2026-03-31T23:25:50.989906,government_announcement
General Elections to Legislative Assemblies and bye-elections 2026,PIB India,https://pib.gov.in/PressReleaseIframePage.aspx?PRID=2247369,2026-03-31T23:25:50.989906,government_announcement
"LAUNCH OF FIRST NEXT GENERATION OFFSHORE PATROL VESSEL (YARD 1280, SHACHI) AT M/S GSL, GOA",PIB India,https://pib.gov.in/PressReleaseIframePage.aspx?PRID=2247343,2026-03-31T23:25:50.989906,government_announcement
"The 14th Ministerial Conference of the WTO concluded on March 30, 2026 in Yaounde, Cameroon.",PIB India,https://pib.gov.in/PressReleaseIframePage.aspx?PRID=2247341,2026-03-31T23:25:50.989906,government_announcement
"DELIVERY OF MALWAN – THE SECOND ANTI-SUBMARINE WARFARE SHALLOW WATER CRAFT BUILT BY CSL, KOCHI",PIB India,https://pib.gov.in/PressReleaseIframePage.aspx?PRID=2247339,2026-03-31T23:25:50.989906,government_announcement
Decarbonizing India’s Fertilizer Sector and Strengthening The Nation’s Energy Security,PIB India,https://pib.gov.in/PressReleaseIframePage.aspx?PRID=2247329,2026-03-31T23:25:50.989906,government_announcement
"In pursuance of Union Budget 2026-27 announcement, CBIC operationalises comprehensive reforms for e-commerce exports and courier trade to enhance ease of doing business from April 1, 2026",PIB India,https://pib.gov.in/PressReleaseIframePage.aspx?PRID=2247313,2026-03-31T23:25:50.989906,government_announcement
Nyaya Setu AI Chatbot and Mascot “DISHIKA” Unveiled at DISHA Programme; BHASHINI Enables Real-Time Multilingual Translation During Vice-President’s Address,PIB India,https://pib.gov.in/PressReleaseIframePage.aspx?PRID=2247310,2026-03-31T23:25:50.989906,government_announcement
"Prime Minister Shri Narendra Modi shares glimpses of his address at the inauguration of Kaynes Semicon Plant at Sanand, Gujarat",PIB India,https://pib.gov.in/PressReleaseIframePage.aspx?PRID=2247308,2026-03-31T23:25:50.989906,government_announcement
National Council for Cement and Building Materials signs MoU with Delhi Technological University to strengthen skill development and capacity building in construction sector,PIB India,https://pib.gov.in/PressReleaseIframePage.aspx?PRID=2247307,2026-03-31T23:25:50.989906,government_announcement
Prime Minister Shri Narendra Modi shares glimpses of his address at the inauguration of Samrat Samprati Museum at Koba Tirth in Gandhinagar On the occasion of Mahavir Jayanti,PIB India,https://pib.gov.in/PressReleaseIframePage.aspx?PRID=2247306,2026-03-31T23:25:50.989906,government_announcement
Secretary (Sports) Hari Ranjan Rao Urges Industry to Position India as Global Hub for Sports Goods Manufacturing at ISGF 2026,PIB India,https://pib.gov.in/PressReleaseIframePage.aspx?PRID=2247303,2026-03-31T23:25:50.989906,government_announcement
ఆసుపత్రిలో ఉన్న సోనియా గాంధీని ప్రధాని మోదీ సందర్శిస్తున్నట్టు చూపించే ఈ ఫోటో ఫేక్,Factly,https://factly.in/telugu-this-image-showing-prime-minister-modi-visiting-sonia-gandhi-in-the-hospital-is-fake/,"Tue, 31 Mar 2026 13:15:25 +0000",fact_check
Video of anti-ICE protesters chasing US far-right influencer Jake Lang in Minneapolis is falsely shared as visuals of an Israeli fighter pilot captured in Iran,Factly,https://factly.in/video-of-anti-ice-protesters-chasing-us-far-right-influencer-jake-lang-in-minneapolis-is-falsely-shared-as-visuals-of-an-israeli-fighter-pilot-captured-in-iran/,"Tue, 31 Mar 2026 09:14:50 +0000",fact_check
This video of a policeman grappling with a woman is not from Israel; it’s from San Diego,Factly,https://factly.in/this-video-of-a-policeman-grappling-with-a-woman-is-not-from-israel-its-from-san-diego/,"Mon, 30 Mar 2026 15:05:46 +0000",fact_check
A scripted video is being falsely shared as visuals of a real chain-snatching incident,Factly,https://factly.in/a-scripted-video-is-being-falsely-shared-as-visuals-of-a-real-chain-snatching-incident/,"Mon, 30 Mar 2026 12:43:51 +0000",fact_check
This 2023 video of Yogi Adityanath visiting the Governor in Maharashtra is being falsely shared as him going to watch the movie Dhurandhar 2,Factly,https://factly.in/this-2023-video-of-yogi-adityanath-visiting-the-governor-in-maharashtra-is-being-falsely-shared-as-him-going-to-watch-the-movie-dhurandhar-2/,"Mon, 30 Mar 2026 11:29:05 +0000",fact_check
"This viral video shows police parading accused individuals in a violence case in Patan, Gujarat, not in Uttam Nagar, Delhi.",Factly,https://factly.in/this-viral-video-shows-police-parading-accused-individuals-in-a-violence-case-in-patan-gujarat-not-in-uttam-nagar-delhi/,"Mon, 30 Mar 2026 09:27:28 +0000",fact_check
Racial Attacks on Indians Abroad Rise Sharply After 2019,Factly,https://factly.in/racial-attacks-on-indians-abroad-rise-sharply-after-2019/,"Mon, 30 Mar 2026 01:50:00 +0000",fact_check
The video of Shashi Tharoor criticising Modi and praising Pakistan’s diplomacy is a deepfake,Factly,https://factly.in/the-video-of-shashi-tharoor-criticising-modi-and-praising-pakistans-diplomacy-is-a-deepfake/,"Sat, 28 Mar 2026 12:09:02 +0000",fact_check
"This video, claiming to show a Muslim man faking disability while begging, is scripted",Factly,https://factly.in/this-video-claiming-to-show-a-muslim-man-faking-disability-while-begging-is-scripted/,"Fri, 27 Mar 2026 10:36:39 +0000",fact_check
Old Video from South Korea Falsely Linked to Iranian Attack on Qatar Gas Plant,Factly,https://factly.in/old-video-from-south-korea-falsely-linked-to-iranian-attack-on-qatar-gas-plant/,"Fri, 27 Mar 2026 08:59:48 +0000",fact_check
WB BJP Shares Clipped Video of CM Mamata Banerjee With False Claim,Newschecker,https://newschecker.in/fact-check/wb-bjp-shares-clipped-video-of-cm-mamata-banerjee-with-false-claim/,"Tue, 31 Mar 2026 12:44:24 +0000",fact_check
Manipulated Video Falsely Shows Amit Shah Saying India Shouldn’t Worry If Pakistan Mediates Iran-US Dispute,Newschecker,https://newschecker.in/fact-check/manipulated-video-falsely-shows-amit-shah-saying-india-shouldnt-worry-if-pakistan-mediates-iran-us-dispute/,"Tue, 31 Mar 2026 10:10:37 +0000",fact_check
Old Video of BJP Leader Being Garlanded With Shoes Falsely Linked To Outrage Over UGC Guidelines,Newschecker,https://newschecker.in/fact-check/old-video-of-bjp-leader-being-garlanded-with-shoes-falsely-linked-to-outrage-over-ugc-guidelines/,"Tue, 31 Mar 2026 09:29:53 +0000",fact_check
Yogi Adityanath At ‘Dhurandhar 2’ Special Screening? Old Video Viral With False Claim,Newschecker,https://newschecker.in/fact-check/viral-video-claiming-to-show-yogi-adityanath-at-dhurandhar-2-special-show-is-old/,"Mon, 30 Mar 2026 07:53:44 +0000",fact_check
"Weekly Wrap: Misinformation Around Dhurandhar 2, Delhi Holi Murder Case & More",Newschecker,https://newschecker.in/fact-check/weekly-wrap-misinformation-around-dhurandhar-2-delhi-holi-murder-case-more/,"Sat, 28 Mar 2026 06:13:56 +0000",fact_check
